OID,State,code of municipality,Municipality
1453,Oaxaca,20185,San Juan Cacahuatepec
1454,Oaxaca,20186,San Juan Cieneguilla
1455,Oaxaca,20188,San Juan Colorado
1456,Oaxaca,20195,San Juan Diuxi
1457,Oaxaca,20199,San Juan Ihualtepec
1458,Oaxaca,20202,San Juan Lachao
1459,Oaxaca,20206,San Juan de los Cues
1460,Oaxaca,20031,Tamazulapam del Espiritu Santo
1461,Oaxaca,20337,San Pedro y San Pablo Ayutla
1462,Oaxaca,20148,San Francisco Ozolotepec
1463,Oaxaca,20303,San Pedro Cajonos
1464,Oaxaca,20138,San Francisco Cajonos
1465,Oaxaca,20165,San Jose Ayuquila
1466,Oaxaca,20455,Santiago Ayuquililla
1467,Oaxaca,20518,Santo Domingo Tlatayapam
1468,Oaxaca,20140,San Francisco Chindua
1469,Oaxaca,20156,San Ildefonso Villa Alta
1470,Oaxaca,20128,San Cristobal Lachirioag
1471,Oaxaca,20542,Taniche
1472,Oaxaca,20470,Santiago Lachiguiri
1473,Oaxaca,20205,San Juan Lalana
1474,Oaxaca,20042,Ixtlan de Juarez
1475,Oaxaca,20183,San Juan Bautista Tlachichilco
1476,Oaxaca,20292,San Pablo Cuatro Venados
1477,Oaxaca,20073,Putla Villa de Guerrero
1478,Oaxaca,20039,Heroica Ciudad de Huajuapan de Leon
1479,Oaxaca,20020,Constancia del Rosario
1480,Oaxaca,20006,Asuncion Nochixtlan
1481,Oaxaca,20537,Silacayoapam
1482,Oaxaca,20390,Santa Lucia del Camino
1483,Oaxaca,20350,San Sebastian Tutla
1484,Oaxaca,20515,Santo Domingo Tehuantepec
1485,Oaxaca,20570,Zimatlan de Alvarez
1486,Oaxaca,20551,Tlacolula de Matamoros
1487,Oaxaca,20460,Santiago Choapam
1488,Oaxaca,20198,San Juan Guichicovi
1489,Oaxaca,20115,San Bartolo Coyotepec
1490,Oaxaca,20064,Nejapa de Madero
1491,Oaxaca,20044,Loma Bonita
1492,Oaxaca,20036,Guevea de Humboldt
1493,Queretaro,22003,Arroyo Seco
1494,Queretaro,22009,Jalpan de Serra
1495,Queretaro,22010,Landa de Matamoros
1496,Queretaro,22002,Pinal de Amoles
1497,Queretaro,22004,Cadereyta de Montes
1498,Queretaro,22015,San Joaquin
1499,Queretaro,22013,Peñamiller
1500,Queretaro,22018,Toliman
1501,Queretaro,22005,Colon
1502,Queretaro,22007,Ezequiel Montes
1503,Queretaro,22011,El Marques
1504,Queretaro,22014,Queretaro
1505,Queretaro,22017,Tequisquiapan
1506,Queretaro,22016,San Juan del Rio
1507,Queretaro,22008,Huimilpan
1508,Queretaro,22012,Pedro Escobedo
1509,Queretaro,22006,Corregidora
1510,Queretaro,22001,Amealco de Bonfil
1511,San Luis Potosi,24058,El Naranjo
1512,San Luis Potosi,24057,Matlapa
1513,San Luis Potosi,24056,Villa de Arista
1514,San Luis Potosi,24055,Zaragoza
1515,San Luis Potosi,24054,Xilitla
1516,San Luis Potosi,24053,Axtla de Terrazas
1517,San Luis Potosi,24052,Villa Juarez
1518,San Luis Potosi,24051,Villa Hidalgo
1519,San Luis Potosi,24050,Villa de Reyes
1520,San Luis Potosi,24049,Villa de Ramos
1521,San Luis Potosi,24048,Villa de la Paz
1522,San Luis Potosi,24047,Villa de Guadalupe
1523,San Luis Potosi,24046,Villa de Arriaga
1524,San Luis Potosi,24045,Venado
1525,San Luis Potosi,24044,Vanegas
1526,San Luis Potosi,24043,Tierra Nueva
1527,San Luis Potosi,24042,Tanquian de Escobedo
1528,San Luis Potosi,24041,Tanlajas
1529,San Luis Potosi,24040,Tamuin
1530,San Luis Potosi,24039,Tampamolon Corona
1531,San Luis Potosi,24038,Tampacan
1532,San Luis Potosi,24037,Tamazunchale
1533,San Luis Potosi,24036,Tamasopo
1534,San Luis Potosi,24035,Soledad de Graciano Sanchez
1535,San Luis Potosi,24034,San Vicente Tancuayalab
1536,San Luis Potosi,24033,Santo Domingo
1537,San Luis Potosi,24032,Santa Maria del Rio
1538,San Luis Potosi,24031,Santa Catarina
1539,San Luis Potosi,24030,San Nicolas Tolentino
1540,San Luis Potosi,24029,San Martin Chalchicuautla
1541,San Luis Potosi,24028,San Luis Potosi
1542,San Luis Potosi,24027,San Ciro de Acosta
1543,San Luis Potosi,24026,San Antonio
1544,San Luis Potosi,24025,Salinas
1545,San Luis Potosi,24024,Rioverde
1546,San Luis Potosi,24023,Rayon
1547,San Luis Potosi,24022,Moctezuma
1548,San Luis Potosi,24021,Mexquitic de Carmona
1549,San Luis Potosi,24020,Matehuala
1550,San Luis Potosi,24019,Lagunillas
1551,San Luis Potosi,24018,Huehuetlan
1552,San Luis Potosi,24017,Guadalcazar
1553,San Luis Potosi,24016,Ebano
1554,San Luis Potosi,24015,Charcas
1555,San Luis Potosi,24014,Coxcatlan
1556,San Luis Potosi,24013,Ciudad Valles
1557,San Luis Potosi,24012,Tancanhuitz
1558,San Luis Potosi,24011,Ciudad Fernandez
1559,San Luis Potosi,24010,Ciudad del Maiz
1560,San Luis Potosi,24009,Cerro de San Pedro
1561,San Luis Potosi,24008,Cerritos
1562,San Luis Potosi,24007,Cedral
1563,San Luis Potosi,24006,Catorce
1564,San Luis Potosi,24005,Cardenas
1565,San Luis Potosi,24004,Armadillo de los Infante
1566,San Luis Potosi,24003,Aquismon
1567,San Luis Potosi,24002,Alaquines
1568,San Luis Potosi,24001,Ahualulco
1569,Guanajuato,11009,Comonfort
1570,Guanajuato,11007,Celaya
1571,Guanajuato,11025,Purisima del Rincon
1572,Guanajuato,11030,San Felipe
1573,Guanajuato,11045,Xichu
1574,Guanajuato,11013,Doctor Mora
1575,Guanajuato,11034,Santa Catarina
1576,Guanajuato,11040,Tierra Blanca
1577,Guanajuato,11041,Uriangato
1578,Guanajuato,11043,Victoria
1579,Guanajuato,11006,Atarjea
1580,Guanajuato,11028,Salvatierra
1581,Guanajuato,11032,San Jose Iturbide
1582,Guanajuato,11024,Pueblo Nuevo
1583,Guanajuato,11036,Santiago Maravatio
1584,Guanajuato,11004,Apaseo el Alto
1585,Guanajuato,11005,Apaseo el Grande
1586,Guanajuato,11046,Yuriria
1587,Guanajuato,11019,Jeracuaro
1588,Guanajuato,11039,Tarimoro
1589,Guanajuato,11010,Coroneo
1590,Guanajuato,11038,Tarandacuao
1591,Guanajuato,11011,Cortazar
1592,Guanajuato,11002,Acambaro
1593,Guanajuato,11003,San Miguel de Allende
1594,Guanajuato,11031,San Francisco del Rincon
1595,Guanajuato,11008,Manuel Doblado
1596,Guanajuato,11012,Cueramaro
1597,Guanajuato,11042,Valle de Santiago
1598,Guanajuato,11033,San Luis de la Paz
1599,Guanajuato,11023,Penjamo
1600,Guanajuato,11037,Silao
1601,Guanajuato,11001,Abasolo
1602,Guanajuato,11016,Huanimaro
1603,Guanajuato,11029,San Diego de la Union
1604,Guanajuato,11044,Villagran
1605,Guanajuato,11035,Santa Cruz de Juventino Rosas
1606,Guanajuato,11027,Salamanca
1607,Guanajuato,11017,Irapuato
1608,Guanajuato,11026,Romita
1609,Guanajuato,11015,Guanajuato
1610,Guanajuato,11020,Leon
1611,Guanajuato,11018,Jaral del Progreso
1612,Guanajuato,11022,Ocampo
1613,Guanajuato,11021,Moroleon
1614,Guanajuato,11014,Dolores Hidalgo Cuna de la Independencia Nacional
1615,Aguascalientes,1005,Jesus Maria
1616,Aguascalientes,1011,San Francisco de los Romo
1617,Aguascalientes,1001,Aguascalientes
1618,Aguascalientes,1008,San Jose de Gracia
1619,Aguascalientes,1007,Rincon de Romos
1620,Aguascalientes,1009,Tepezala
1621,Aguascalientes,1004,Cosio
1622,Aguascalientes,1002,Asientos
1623,Aguascalientes,1003,Calvillo
1624,Aguascalientes,1010,El Llano
1625,Aguascalientes,1006,Pabellon de Arteaga
1626,Veracruz,30001,Acajete
1627,Veracruz,30002,Acatlan
1628,Veracruz,30003,Acayucan
1629,Veracruz,30004,Actopan
1630,Veracruz,30005,Acula
1631,Veracruz,30006,Acultzingo
1632,Veracruz,30007,Camaron de Tejeda
1633,Veracruz,30008,Alpatlahuac
1634,Veracruz,30009,Alto Lucero de Gutierrez Barrios
1635,Veracruz,30010,Altotonga
1636,Veracruz,30011,Alvarado
1637,Veracruz,30012,Amatitlan
1638,Veracruz,30013,Naranjos Amatlan
1639,Veracruz,30014,Amatlan de los Reyes
1640,Veracruz,30015,Angel R. Cabada
1641,Veracruz,30016,La Antigua
1642,Veracruz,30017,Apazapan
1643,Veracruz,30018,Aquila
1644,Veracruz,30019,Astacinga
1645,Veracruz,30020,Atlahuilco
1646,Veracruz,30021,Atoyac
1647,Veracruz,30022,Atzacan
1648,Veracruz,30023,Atzalan
1649,Veracruz,30024,Tlaltetela
1650,Veracruz,30026,Banderilla
1651,Veracruz,30027,Benito Juarez
1652,Veracruz,30028,Boca del Rio
1653,Veracruz,30029,Calcahualco
1654,Veracruz,30030,Camerino Z. Mendoza
1655,Veracruz,30031,Carrillo Puerto
1656,Veracruz,30032,Catemaco
1657,Veracruz,30033,Cazones de Herrera
1658,Veracruz,30034,Cerro Azul
1659,Veracruz,30035,Citlaltepetl
1660,Veracruz,30036,Coacoatzintla
1661,Veracruz,30037,Coahuitlan
1662,Veracruz,30038,Coatepec
1663,Veracruz,30039,Coatzacoalcos
1664,Veracruz,30040,Coatzintla
1665,Veracruz,30041,Coetzala
1666,Veracruz,30042,Colipa
1667,Veracruz,30043,Comapa
1668,Veracruz,30044,Cordoba
1669,Veracruz,30045,Cosamaloapan de Carpio
1670,Veracruz,30046,Cosautlan de Carvajal
1671,Veracruz,30047,Coscomatepec
1672,Veracruz,30048,Cosoleacaque
1673,Veracruz,30049,Cotaxtla
1674,Veracruz,30050,Coxquihui
1675,Veracruz,30051,Coyutla
1676,Veracruz,30052,Cuichapa
1677,Veracruz,30053,Cuitlahuac
1678,Veracruz,30054,Chacaltianguis
1679,Veracruz,30057,Chiconquiaco
1680,Veracruz,30058,Chicontepec
1681,Veracruz,30059,Chinameca
1682,Veracruz,30060,Chinampa de Gorostiza
1683,Veracruz,30061,Las Choapas
1684,Veracruz,30062,Chocaman
1685,Veracruz,30063,Chontla
1686,Veracruz,30064,Chumatlan
1687,Veracruz,30065,Emiliano Zapata
1688,Veracruz,30066,Espinal
1689,Veracruz,30067,Filomeno Mata
1690,Veracruz,30068,Fortin
1691,Veracruz,30069,Gutierrez Zamora
1692,Veracruz,30070,Hidalgotitlan
1693,Veracruz,30071,Huatusco
1694,Veracruz,30072,Huayacocotla
1695,Veracruz,30073,Hueyapan de Ocampo
1696,Veracruz,30074,Huiloapan de Cuauhtemoc
1697,Veracruz,30075,Ignacio de la Llave
1698,Veracruz,30076,Ilamatlan
1699,Veracruz,30077,Isla
1700,Veracruz,30078,Ixcatepec
1701,Veracruz,30079,Ixhuacan de los Reyes
1702,Veracruz,30080,Ixhuatlan del Café
1703,Veracruz,30081,Ixhuatlancillo
1704,Veracruz,30082,Ixhuatlan del Sureste
1705,Veracruz,30083,Ixhuatlan de Madero
1706,Veracruz,30084,Ixmatlahuacan
1707,Veracruz,30085,Ixtaczoquitlan
1708,Veracruz,30086,Jalacingo
1709,Veracruz,30087,Xalapa
1710,Veracruz,30088,Jalcomulco
1711,Veracruz,30089,Jaltipan
1712,Veracruz,30090,Jamapa
1713,Veracruz,30091,Jesus Carranza
1714,Veracruz,30092,Xico
1715,Veracruz,30093,Jilotepec
1716,Veracruz,30094,Juan Rodriguez Clara
1717,Veracruz,30095,Juchique de Ferrer
1718,Veracruz,30096,Landero y Coss
1719,Veracruz,30097,Lerdo de Tejada
1720,Veracruz,30098,Magdalena
1721,Veracruz,30099,Maltrata
1722,Veracruz,30100,Manlio Fabio Altamirano
1723,Veracruz,30101,Mariano Escobedo
1724,Veracruz,30102,Martinez de la Torre
1725,Veracruz,30103,Mecatlan
1726,Veracruz,30105,Medellin
1727,Veracruz,30106,Miahuatlan
1728,Veracruz,30107,Las Minas
1729,Veracruz,30108,Minatitlan
1730,Veracruz,30109,Misantla
1731,Veracruz,30110,Mixtla de Altamirano
1732,Veracruz,30111,Moloacan
1733,Veracruz,30112,Naolinco
1734,Veracruz,30113,Naranjal
1735,Veracruz,30114,Nautla
1736,Veracruz,30115,Nogales
1737,Veracruz,30116,Oluta
1738,Veracruz,30117,Omealca
1739,Veracruz,30118,Orizaba
1740,Veracruz,30119,Otatitlan
1741,Veracruz,30120,Oteapan
1742,Veracruz,30121,Ozuluama de Mascareñas
1743,Veracruz,30122,Pajapan
1744,Veracruz,30123,Panuco
1745,Veracruz,30124,Papantla
1746,Veracruz,30125,Paso del Macho
1747,Veracruz,30126,Paso de Ovejas
1748,Veracruz,30127,La Perla
1749,Veracruz,30128,Perote
1750,Veracruz,30129,Platon Sanchez
1751,Veracruz,30130,Playa Vicente
1752,Veracruz,30131,Poza Rica de Hidalgo
1753,Veracruz,30132,Las Vigas de Ramirez
1754,Veracruz,30133,Pueblo Viejo
1755,Veracruz,30134,Puente Nacional
1756,Veracruz,30135,Rafael Delgado
1757,Veracruz,30136,Rafael Lucio
1758,Veracruz,30137,Los Reyes
1759,Veracruz,30138,Rio Blanco
1760,Veracruz,30139,Saltabarranca
1761,Veracruz,30140,San Andres Tenejapan
1762,Veracruz,30141,San Andres Tuxtla
1763,Veracruz,30142,San Juan Evangelista
1764,Veracruz,30143,Santiago Tuxtla
1765,Veracruz,30144,Sayula de Aleman
1766,Veracruz,30145,Soconusco
1767,Veracruz,30146,Sochiapa
1768,Veracruz,30147,Soledad Atzompa
1769,Veracruz,30148,Soledad de Doblado
1770,Veracruz,30149,Soteapan
1771,Veracruz,30152,Tampico Alto
1772,Veracruz,30153,Tancoco
1773,Veracruz,30154,Tantima
1774,Veracruz,30155,Tantoyuca
1775,Veracruz,30156,Tatatila
1776,Veracruz,30157,Castillo de Teayo
1777,Veracruz,30158,Tecolutla
1778,Veracruz,30159,Tehuipango
1779,Veracruz,30160,Alamo Temapache
1780,Veracruz,30161,Tempoal
1781,Veracruz,30162,Tenampa
1782,Veracruz,30163,Tenochtitlan
1783,Veracruz,30164,Teocelo
1784,Veracruz,30165,Tepatlaxco
1785,Veracruz,30166,Tepetlan
1786,Veracruz,30167,Tepetzintla
1787,Veracruz,30168,Tequila
1788,Veracruz,30169,Jose Azueta
1789,Veracruz,30170,Texcatepec
1790,Veracruz,30171,Texhuacan
1791,Veracruz,30172,Texistepec
1792,Veracruz,30173,Tezonapa
1793,Veracruz,30174,Tierra Blanca
1794,Veracruz,30175,Tihuatlan
1795,Veracruz,30176,Tlacojalpan
1796,Veracruz,30177,Tlacolulan
1797,Veracruz,30178,Tlacotalpan
1798,Veracruz,30179,Tlacotepec de Mejia
1799,Veracruz,30180,Tlachichilco
1800,Veracruz,30181,Tlalixcoyan
1801,Veracruz,30182,Tlalnelhuayocan
1802,Veracruz,30183,Tlapacoyan
1803,Veracruz,30184,Tlaquilpa
1804,Veracruz,30185,Tlilapan
1805,Veracruz,30186,Tomatlan
1806,Veracruz,30187,Tonayan
1807,Veracruz,30188,Totutla
1808,Veracruz,30189,Tuxpan
1809,Veracruz,30190,Tuxtilla
1810,Veracruz,30191,Ursulo Galvan
1811,Veracruz,30192,Vega de Alatorre
1812,Veracruz,30194,Villa Aldama
1813,Veracruz,30195,Xoxocotla
1814,Veracruz,30196,Yanga
1815,Veracruz,30197,Yecuatla
1816,Veracruz,30198,Zacualpan
1817,Veracruz,30199,Zaragoza
1818,Veracruz,30200,Zentla
1819,Veracruz,30201,Zongolica
1820,Veracruz,30202,Zontecomatlan de Lopez y Fuentes
1821,Veracruz,30203,Zozocolco de Hidalgo
1822,Veracruz,30204,Agua Dulce
1823,Veracruz,30205,El Higo
1824,Veracruz,30206,Nanchital de Lazaro Cardenas del Rio
1825,Veracruz,30207,Tres Valles
1826,Veracruz,30208,Carlos A. Carrillo
1827,Veracruz,30209,Tatahuicapan de Juarez
1828,Veracruz,30210,Uxpanapa
1829,Veracruz,30211,San Rafael
1830,Veracruz,30212,Santiago Sochiapan
1831,Tlaxcala,29020,Sanctorum de Lazaro Cardenas
1832,Tlaxcala,29060,Santa Isabel Xiloxoxtla
1833,Tlaxcala,29059,Santa Cruz Quilehtla
1834,Tlaxcala,29058,Santa Catarina Ayometla
1835,Tlaxcala,29057,Santa Apolonia Teacalco
1836,Tlaxcala,29056,Santa Ana Nopalucan
1837,Tlaxcala,29055,San Lucas Tecopilco
1838,Tlaxcala,29054,San Lorenzo Axocomanitla
1839,Tlaxcala,29053,San Juan Huactzinco
1840,Tlaxcala,29052,San Jose Teacalco
1841,Tlaxcala,29051,San Jeronimo Zacualpan
1842,Tlaxcala,29050,San Francisco Tetlanohcan
1843,Tlaxcala,29049,San Damian Texoloc
1844,Tlaxcala,29048,La Magdalena Tlaltelulco
1845,Tlaxcala,29047,Lazaro Cardenas
1846,Tlaxcala,29046,Emiliano Zapata
1847,Tlaxcala,29045,Benito Juarez
1848,Tlaxcala,29044,Zacatelco
1849,Tlaxcala,29043,Yauhquemehcan
1850,Tlaxcala,29042,Xicohtzinco
1851,Tlaxcala,29041,Papalotla de Xicohtencatl
1852,Tlaxcala,29040,Xaltocan
1853,Tlaxcala,29039,Xaloztoc
1854,Tlaxcala,29038,Tzompantepec
1855,Tlaxcala,29037,Ziltlaltepec de Trinidad Sanchez Santos
1856,Tlaxcala,29036,Totolac
1857,Tlaxcala,29035,Tocatlan
1858,Tlaxcala,29034,Tlaxco
1859,Tlaxcala,29033,Tlaxcala
1860,Tlaxcala,29032,Tetlatlahuca
1861,Tlaxcala,29031,Tetla de la Solidaridad
1862,Tlaxcala,29030,Terrenate
1863,Tlaxcala,29029,Tepeyanco
1864,Tlaxcala,29028,Teolocholco
1865,Tlaxcala,29027,Tenancingo
1866,Tlaxcala,29026,Santa Cruz Tlaxcala
1867,Tlaxcala,29025,San Pablo del Monte
1868,Tlaxcala,29024,Panotla
1869,Tlaxcala,29023,Nativitas
1870,Tlaxcala,29022,Acuamanala de Miguel Hidalgo
1871,Tlaxcala,29021,Nanacamilpa de Mariano Arista
1872,Tlaxcala,29019,Tepetitla de Lardizabal
1873,Tlaxcala,29018,Contla de Juan Cuamatzi
1874,Tlaxcala,29017,Mazatecochco de Jose Maria Morelos
1875,Tlaxcala,29016,Ixtenco
1876,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros
1877,Tlaxcala,29014,Hueyotlipan
1878,Tlaxcala,29013,Huamantla
1879,Tlaxcala,29012,Españita
1880,Tlaxcala,29011,Muñoz de Domingo Arenas
1881,Tlaxcala,29010,Chiautempan
1882,Tlaxcala,29009,Cuaxomulco
1883,Tlaxcala,29008,Cuapiaxtla
1884,Tlaxcala,29007,El Carmen Tequexquitla
1885,Tlaxcala,29006,Calpulalpan
1886,Tlaxcala,29005,Apizaco
1887,Tlaxcala,29004,Atltzayanca
1888,Tlaxcala,29003,Atlangatepec
1889,Tlaxcala,29002,Apetatitlan de Antonio Carvajal
1890,Puebla,21027,Caltepec
1891,Puebla,21047,Chiautla
1892,Puebla,21072,Huehuetla
1893,Puebla,21073,Huehuetlan el Chico
1894,Puebla,21088,Jonotla
1895,Puebla,21155,Tecomatlan
1896,Puebla,21216,Zoquiapan
1897,Puebla,21117,Rafael Lara Grajales
1898,Puebla,21001,Acajete
1899,Puebla,21002,Acateno
1900,Puebla,21004,Acatzingo
1901,Puebla,21005,Acteopan
1902,Puebla,21006,Ahuacatlan
1903,Puebla,21007,Ahuatlan
1904,Puebla,21008,Ahuazotepec
1905,Puebla,21009,Ahuehuetitla
1906,Puebla,21010,Ajalpan
1907,Puebla,21011,Albino Zertuche
1908,Puebla,21012,Aljojuca
1909,Puebla,21013,Altepexi
1910,Puebla,21014,Amixtlan
1911,Puebla,21015,Amozoc
1912,Puebla,21016,Aquixtla
1913,Puebla,21017,Atempan
1914,Puebla,21018,Atexcal
1915,Puebla,21019,Atlixco
1916,Puebla,21020,Atoyatempan
1917,Puebla,21021,Atzala
1918,Puebla,21022,Atzitzihuacan
1919,Puebla,21023,Atzitzintla
1920,Puebla,21024,Axutla
1921,Puebla,21025,Ayotoxco de Guerrero
1922,Puebla,21026,Calpan
1923,Puebla,21028,Camocuautla
1924,Puebla,21029,Caxhuacan
1925,Puebla,21030,Coatepec
1926,Puebla,21031,Coatzingo
1927,Puebla,21032,Cohetzala
1928,Puebla,21033,Cohuecan
1929,Puebla,21034,Coronango
1930,Puebla,21035,Coxcatlan
1931,Puebla,21036,Coyomeapan
1932,Puebla,21037,Coyotepec
1933,Puebla,21038,Cuapiaxtla de Madero
1934,Puebla,21039,Cuautempan
1935,Puebla,21040,Cuautinchan
1936,Puebla,21041,Cuautlancingo
1937,Puebla,21042,Cuayuca de Andrade
1938,Puebla,21043,Cuetzalan del Progreso
1939,Puebla,21044,Cuyoaco
1940,Puebla,21045,Chalchicomula de Sesma
1941,Puebla,21046,Chapulco
1942,Puebla,21048,Chiautzingo
1943,Puebla,21049,Chiconcuautla
1944,Puebla,21050,Chichiquila
1945,Puebla,21051,Chietla
1946,Puebla,21052,Chigmecatitlan
1947,Puebla,21053,Chignahuapan
1948,Puebla,21054,Chignautla
1949,Puebla,21055,Chila
1950,Puebla,21056,Chila de la Sal
1951,Puebla,21057,Honey
1952,Puebla,21058,Chilchotla
1953,Puebla,21059,Chinantla
1954,Puebla,21060,Domingo Arenas
1955,Puebla,21061,Eloxochitlan
1956,Puebla,21062,Epatlan
1957,Puebla,21063,Esperanza
1958,Puebla,21064,Francisco Z. Mena
1959,Puebla,21065,General Felipe Angeles
1960,Puebla,21066,Guadalupe
1961,Puebla,21067,Guadalupe Victoria
1962,Puebla,21068,Hermenegildo Galeana
1963,Puebla,21069,Huaquechula
1964,Puebla,21070,Huatlatlauca
1965,Puebla,21071,Huauchinango
1966,Puebla,21074,Huejotzingo
1967,Puebla,21075,Hueyapan
1968,Puebla,21076,Hueytamalco
1969,Puebla,21077,Hueytlalpan
1970,Puebla,21078,Huitzilan de Serdan
1971,Puebla,21079,Huitziltepec
1972,Puebla,21080,Atlequizayan
1973,Puebla,21081,Ixcamilpa de Guerrero
1974,Puebla,21082,Ixcaquixtla
1975,Puebla,21083,Ixtacamaxtitlan
1976,Puebla,21084,Ixtepec
1977,Puebla,21085,Izucar de Matamoros
1978,Puebla,21086,Jalpan
1979,Puebla,21087,Jolalpan
1980,Puebla,21089,Jopala
1981,Puebla,21090,Juan C. Bonilla
1982,Puebla,21091,Juan Galindo
1983,Puebla,21092,Juan N. Mendez
1984,Puebla,21093,Lafragua
1985,Puebla,21094,Libres
1986,Puebla,21095,La Magdalena Tlatlauquitepec
1987,Puebla,21096,Mazapiltepec de Juarez
1988,Puebla,21097,Mixtla
1989,Puebla,21098,Molcaxac
1990,Puebla,21099,Cañada Morelos
1991,Puebla,21100,Naupan
1992,Puebla,21101,Nauzontla
1993,Puebla,21102,Nealtican
1994,Puebla,21103,Nicolas Bravo
1995,Puebla,21104,Nopalucan
1996,Puebla,21105,Ocotepec
1997,Puebla,21106,Ocoyucan
1998,Puebla,21107,Olintla
1999,Puebla,21108,Oriental
2000,Puebla,21109,Pahuatlan
2001,Puebla,21110,Palmar de Bravo
2002,Puebla,21111,Pantepec
2003,Puebla,21112,Petlalcingo
2004,Puebla,21113,Piaxtla
2005,Puebla,21114,Puebla
2006,Puebla,21115,Quecholac
2007,Puebla,21116,Quimixtlan
2008,Puebla,21118,Los Reyes de Juarez
2009,Puebla,21119,San Andres Cholula
2010,Puebla,21120,San Antonio Cañada
2011,Puebla,21121,San Diego la Mesa Tochimiltzingo
2012,Puebla,21122,San Felipe Teotlalcingo
2013,Puebla,21123,San Felipe Tepatlan
2014,Puebla,21124,San Gabriel Chilac
2015,Puebla,21125,San Gregorio Atzompa
2016,Puebla,21126,San Jeronimo Tecuanipan
2017,Puebla,21127,San Jeronimo Xayacatlan
2018,Puebla,21128,San Jose Chiapa
2019,Puebla,21129,San Jose Miahuatlan
2020,Puebla,21130,San Juan Atenco
2021,Puebla,21131,San Juan Atzompa
2022,Puebla,21132,San Martin Texmelucan
2023,Puebla,21133,San Martin Totoltepec
2024,Puebla,21134,San Matias Tlalancaleca
2025,Puebla,21135,San Miguel Ixitlan
2026,Puebla,21136,San Miguel Xoxtla
2027,Puebla,21137,San Nicolas Buenos Aires
2028,Puebla,21138,San Nicolas de los Ranchos
2029,Puebla,21139,San Pablo Anicano
2030,Puebla,21140,San Pedro Cholula
2031,Puebla,21141,San Pedro Yeloixtlahuaca
2032,Puebla,21142,San Salvador el Seco
2033,Puebla,21143,San Salvador el Verde
2034,Puebla,21144,San Salvador Huixcolotla
2035,Puebla,21145,San Sebastian Tlacotepec
2036,Puebla,21146,Santa Catarina Tlaltempan
2037,Puebla,21147,Santa Ines Ahuatempan
2038,Puebla,21148,Santa Isabel Cholula
2039,Puebla,21149,Santiago Miahuatlan
2040,Puebla,21150,Huehuetlan el Grande
2041,Puebla,21151,Santo Tomas Hueyotlipan
2042,Puebla,21152,Soltepec
2043,Puebla,21153,Tecali de Herrera
2044,Puebla,21154,Tecamachalco
2045,Puebla,21156,Tehuacan
2046,Puebla,21157,Tehuitzingo
2047,Puebla,21158,Tenampulco
2048,Puebla,21159,Teopantlan
2049,Puebla,21160,Teotlalco
2050,Puebla,21161,Tepanco de Lopez
2051,Puebla,21162,Tepango de Rodriguez
2052,Puebla,21163,Tepatlaxco de Hidalgo
2053,Puebla,21164,Tepeaca
2054,Puebla,21165,Tepemaxalco
2055,Puebla,21166,Tepeojuma
2056,Puebla,21167,Tepetzintla
2057,Puebla,21168,Tepexco
2058,Puebla,21169,Tepexi de Rodriguez
2059,Puebla,21170,Tepeyahualco
2060,Puebla,21171,Tepeyahualco de Cuauhtemoc
2061,Puebla,21172,Tetela de Ocampo
2062,Puebla,21173,Teteles de Avila Castillo
2063,Puebla,21174,Teziutlan
2064,Puebla,21175,Tianguismanalco
2065,Puebla,21176,Tilapa
2066,Puebla,21177,Tlacotepec de Benito Juarez
2067,Puebla,21178,Tlacuilotepec
2068,Puebla,21179,Tlachichuca
2069,Puebla,21180,Tlahuapan
2070,Puebla,21181,Tlaltenango
2071,Puebla,21182,Tlanepantla
2072,Puebla,21183,Tlaola
2073,Puebla,21184,Tlapacoya
2074,Puebla,21185,Tlapanala
2075,Puebla,21186,Tlatlauquitepec
2076,Puebla,21187,Tlaxco
2077,Puebla,21188,Tochimilco
2078,Puebla,21189,Tochtepec
2079,Puebla,21190,Totoltepec de Guerrero
2080,Puebla,21191,Tulcingo
2081,Puebla,21192,Tuzamapan de Galeana
2082,Puebla,21193,Tzicatlacoyan
2083,Puebla,21194,Venustiano Carranza
2084,Puebla,21195,Vicente Guerrero
2085,Puebla,21196,Xayacatlan de Bravo
2086,Puebla,21197,Xicotepec
2087,Puebla,21198,Xicotlan
2088,Puebla,21200,Xochiapulco
2089,Puebla,21201,Xochiltepec
2090,Puebla,21202,Xochitlan de Vicente Suarez
2091,Puebla,21203,Xochitlan Todos Santos
2092,Puebla,21204,Yaonahuac
2093,Puebla,21205,Yehualtepec
2094,Puebla,21206,Zacapala
2095,Puebla,21207,Zacapoaxtla
2096,Puebla,21208,Zacatlan
2097,Puebla,21209,Zapotitlan
2098,Puebla,21210,Zapotitlan de Mendez
2099,Puebla,21211,Zaragoza
2100,Puebla,21212,Zautla
2101,Puebla,21213,Zihuateutla
2102,Puebla,21214,Zinacatepec
2103,Puebla,21215,Zongozotla
2104,Puebla,21217,Zoquitlan
2105,Puebla,21199,Xiutetelco
2106,Hidalgo,13035,Metepec
2107,Hidalgo,13007,Almoloya
2108,Hidalgo,13008,Apan
2109,Hidalgo,13001,Acatlan
2110,Hidalgo,13002,Acaxochitlan
2111,Hidalgo,13003,Actopan
